SAMPLE	PLATE	COLUMN	ROW	GROUP	CODE	ANCESTRY	SEX	FAMILY_ID	RELATIONSHIP	FLOWCELLS	OUTPUT	READ_N50	NOTES	HAS_SR	base_sample_id	T2T_cram	T2T_crai	T2T_mean_cov	T2T_median_cov	T2T_xy_ratio	T2T_avg_read_identity	T2T_median_read_identity	T2T_N50	T2T_readmass	base_sample_id	GRCh38_cram	GRCh38_crai	GRCh38_mean_cov	GRCh38_median_cov	GRCh38_xy_ratio	GRCh38_avg_read_identity	GRCh38_median_read_identity	GRCh38_N50	GRCh38_readmass
HG00117	P05	2	B	GBR	GBR	British From England and Scotland [GBR]	Male		proband	PAK02589	67,0	38.388		X	HG00117	/groups/bi-marvl/samples/alignments/T2T/HG00117/alignments/HG00117.cram	/groups/bi-marvl/samples/alignments/T2T/HG00117/alignments/HG00117.cram.crai	20.82	21	1	93.4	96.5	37896	68441617836	HG00117	/groups/bi-marvl/samples/alignments/GRCh38/HG00117/alignments/HG00117.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG00117/alignments/HG00117.cram.crai	21.01	21	1	92.2	96.2	37646	69013663090
HG00120	P05	2	C	GBR	GBR	British From England and Scotland [GBR]	Female		proband	PAK01438	63,3	31.721		X	HG00120	/groups/bi-marvl/samples/alignments/T2T/HG00120/alignments/HG00120.cram	/groups/bi-marvl/samples/alignments/T2T/HG00120/alignments/HG00120.cram.crai	19.61	20	45	93.5	96.6	31319	64566060696	HG00120	/groups/bi-marvl/samples/alignments/GRCh38/HG00120/alignments/HG00120.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG00120/alignments/HG00120.cram.crai	19.77	20	12	92.6	96.4	31234	64889569495
HG00123	P05	2	D	GBR	GBR	British From England and Scotland [GBR]	Female		proband	PAI98832	36,6	33.013		X	HG00123	/groups/bi-marvl/samples/alignments/T2T/HG00123/alignments/HG00123.cram	/groups/bi-marvl/samples/alignments/T2T/HG00123/alignments/HG00123.cram.crai	11.13	11	40	88.9	91.4	33001	36402883137	HG00123	/groups/bi-marvl/samples/alignments/GRCh38/HG00123/alignments/HG00123.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG00123/alignments/HG00123.cram.crai	11.22	11	11	88.1	91	32855	36605519063
HG00124	P05	2	E	GBR	GBR	British From England and Scotland [GBR]	Female		proband	PAK02188	59,1	42.461			HG00124	/groups/bi-marvl/samples/alignments/T2T/HG00124/alignments/HG00124.cram	/groups/bi-marvl/samples/alignments/T2T/HG00124/alignments/HG00124.cram.crai	18.45	19	41	93.5	96.4	41068	61670723407	HG00124	/groups/bi-marvl/samples/alignments/GRCh38/HG00124/alignments/HG00124.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG00124/alignments/HG00124.cram.crai	18.6	18	11	92.4	96.2	40922	62021771358
HG00125	P05	2	F	GBR	GBR	British From England and Scotland [GBR]	Female		proband	PAI99460 PAK01320 PAK13221	105,8	30.748		X	HG00125	/groups/bi-marvl/samples/alignments/T2T/HG00125/alignments/HG00125.cram	/groups/bi-marvl/samples/alignments/T2T/HG00125/alignments/HG00125.cram.crai	32.88	33	47	93.4	96.4	30515	1.07E+11	HG00125	/groups/bi-marvl/samples/alignments/GRCh38/HG00125/alignments/HG00125.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG00125/alignments/HG00125.cram.crai	33.12	33	12	92.3	96.2	30383	1.08E+11
HG00128	P05	2	G	GBR	GBR	British From England and Scotland [GBR]	Female		proband	PAI99486	84,6	32.857		X	HG00128	/groups/bi-marvl/samples/alignments/T2T/HG00128/alignments/HG00128.cram	/groups/bi-marvl/samples/alignments/T2T/HG00128/alignments/HG00128.cram.crai	26.84	27	44	92.2	94.4	32310	87066017768	HG00128	/groups/bi-marvl/samples/alignments/GRCh38/HG00128/alignments/HG00128.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG00128/alignments/HG00128.cram.crai	27.07	27	11	91.2	94.2	32250	87439666708
HG00129	P05	2	H	GBR	GBR	British From England and Scotland [GBR]	Male		proband	PAK02274	54,7	33.717		X	HG00129	/groups/bi-marvl/samples/alignments/T2T/HG00129/alignments/HG00129.cram	/groups/bi-marvl/samples/alignments/T2T/HG00129/alignments/HG00129.cram.crai	17.07	17	1	93.9	96.6	33357	55494887736	HG00129	/groups/bi-marvl/samples/alignments/GRCh38/HG00129/alignments/HG00129.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG00129/alignments/HG00129.cram.crai	17.22	17	1	92.7	96.4	33191	55888960136
HG00130	P01	1	A	GBR	GBR	British From England and Scotland [GBR]	Female		proband	PAI54857 PAK06365	88,0	23.444		X	HG00130	/groups/bi-marvl/samples/alignments/T2T/HG00130/alignments/HG00130.cram	/groups/bi-marvl/samples/alignments/T2T/HG00130/alignments/HG00130.cram.crai	27.45	28	45	93.3	96.2	23206	89353984730	HG00130	/groups/bi-marvl/samples/alignments/GRCh38/HG00130/alignments/HG00130.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG00130/alignments/HG00130.cram.crai	27.67	28	12	92.6	96.1	23165	89750464138
HG00131	P05	3	A	GBR	GBR	British From England and Scotland [GBR]	Male		proband	PAK01515 PAK12766	145,3	18.21		X	HG00131	/groups/bi-marvl/samples/alignments/T2T/HG00131/alignments/HG00131.cram	/groups/bi-marvl/samples/alignments/T2T/HG00131/alignments/HG00131.cram.crai	44.92	46	1	93.3	96.1	17945	1.47E+11	HG00131	/groups/bi-marvl/samples/alignments/GRCh38/HG00131/alignments/HG00131.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG00131/alignments/HG00131.cram.crai	45.25	46	1	92.7	95.9	17858	1.48E+11
HG00133	P05	3	B	GBR	GBR	British From England and Scotland [GBR]	Female		proband	PAI99367 PAK13008	153,5	15.755		X	HG00133	/groups/bi-marvl/samples/alignments/T2T/HG00133/alignments/HG00133.cram	/groups/bi-marvl/samples/alignments/T2T/HG00133/alignments/HG00133.cram.crai	47.08	48	45	93.1	95.8	15489	1.54E+11	HG00133	/groups/bi-marvl/samples/alignments/GRCh38/HG00133/alignments/HG00133.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG00133/alignments/HG00133.cram.crai	47.52	48	12	92.5	95.6	15444	1.55E+11
HG00137	P05	3	C	GBR	GBR	British From England and Scotland [GBR]	Female		proband	PAK01558 PAK12610	83,7	14.999		X	HG00137	/groups/bi-marvl/samples/alignments/T2T/HG00137/alignments/HG00137.cram	/groups/bi-marvl/samples/alignments/T2T/HG00137/alignments/HG00137.cram.crai	25.57	26	43	93.1	95.8	14611	85004474968	HG00137	/groups/bi-marvl/samples/alignments/GRCh38/HG00137/alignments/HG00137.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG00137/alignments/HG00137.cram.crai	25.8	26	12	92.5	95.6	14548	85310898957
HG00138	P05	3	D	GBR	GBR	British From England and Scotland [GBR]	Male		proband	PAI98831 PAK12866	138,5	15.844		X	HG00138	/groups/bi-marvl/samples/alignments/T2T/HG00138/alignments/HG00138.cram	/groups/bi-marvl/samples/alignments/T2T/HG00138/alignments/HG00138.cram.crai	42.41	43	12	92.2	94.8	15604	1.40E+11	HG00138	/groups/bi-marvl/samples/alignments/GRCh38/HG00138/alignments/HG00138.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG00138/alignments/HG00138.cram.crai	42.8	43	7	91.7	94.6	15568	1.40E+11
HG00139	P01	1	B	GBR	GBR	British From England and Scotland [GBR]	Male		proband	PAI76281	81,3	27.119		X	HG00139	/groups/bi-marvl/samples/alignments/T2T/HG00139/alignments/HG00139.cram	/groups/bi-marvl/samples/alignments/T2T/HG00139/alignments/HG00139.cram.crai	25.54	26	1	93.5	96.1	26916	82218677215	HG00139	/groups/bi-marvl/samples/alignments/GRCh38/HG00139/alignments/HG00139.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG00139/alignments/HG00139.cram.crai	25.75	26	1	92.7	95.9	26875	82750893657
HG00141	P05	3	E	GBR	GBR	British From England and Scotland [GBR]	Male		proband	PAI98614 PAK13486 PAM61452	167,6	23.592		X	HG00141	/groups/bi-marvl/samples/alignments/T2T/HG00141/alignments/HG00141.cram	/groups/bi-marvl/samples/alignments/T2T/HG00141/alignments/HG00141.cram.crai	51.88	53	1	93.7	96.4	22786	1.72E+11	HG00141	/groups/bi-marvl/samples/alignments/GRCh38/HG00141/alignments/HG00141.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG00141/alignments/HG00141.cram.crai	52.32	53	1	93	96.2	22682	1.72E+11
HG00146	P05	3	F	GBR	GBR	British From England and Scotland [GBR]	Female		proband	PAM61151	74,9	21.282		X	HG00146	/groups/bi-marvl/samples/alignments/T2T/HG00146/alignments/HG00146.cram	/groups/bi-marvl/samples/alignments/T2T/HG00146/alignments/HG00146.cram.crai	22.9	23	44	92.9	95.9	20856	75533469967	HG00146	/groups/bi-marvl/samples/alignments/GRCh38/HG00146/alignments/HG00146.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG00146/alignments/HG00146.cram.crai	23.11	23	12	92.3	95.7	20783	75869349646
HG00148	P01	1	C	GBR	GBR	British From England and Scotland [GBR]	Male		proband	PAI75409	57,8	15.424		X	HG00148	/groups/bi-marvl/samples/alignments/T2T/HG00148/alignments/HG00148.cram	/groups/bi-marvl/samples/alignments/T2T/HG00148/alignments/HG00148.cram.crai	17.59	18	1	91.7	94.4	15720	57538088733	HG00148	/groups/bi-marvl/samples/alignments/GRCh38/HG00148/alignments/HG00148.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG00148/alignments/HG00148.cram.crai	17.74	18	1	91	94.1	15641	57853566045
HG00149	P05	3	G	GBR	GBR	British From England and Scotland [GBR]	Male		proband	PAI98975 PAM61301	168,1	27.956		X	HG00149	/groups/bi-marvl/samples/alignments/T2T/HG00149/alignments/HG00149.cram	/groups/bi-marvl/samples/alignments/T2T/HG00149/alignments/HG00149.cram.crai	51.69	53	1	91.6	94.6	27636	1.70E+11	HG00149	/groups/bi-marvl/samples/alignments/GRCh38/HG00149/alignments/HG00149.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG00149/alignments/HG00149.cram.crai	52.23	53	1	90.8	94.2	27479	1.71E+11
HG00152	P05	3	H	GBR	GBR	British From England and Scotland [GBR]	Male		proband	PAI98859 PAK13485 PAM61378	150,7	28.808			HG00152	/groups/bi-marvl/samples/alignments/T2T/HG00152/alignments/HG00152.cram	/groups/bi-marvl/samples/alignments/T2T/HG00152/alignments/HG00152.cram.crai	46.68	48	1	93.6	96.4	28294	1.53E+11	HG00152	/groups/bi-marvl/samples/alignments/GRCh38/HG00152/alignments/HG00152.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG00152/alignments/HG00152.cram.crai	47.07	48	1	92.7	96.2	28168	1.55E+11
HG00157	P05	4	A	GBR	GBR	British From England and Scotland [GBR]	Male		proband	PAI98762	44,6	28.134		X	HG00157	/groups/bi-marvl/samples/alignments/T2T/HG00157/alignments/HG00157.cram	/groups/bi-marvl/samples/alignments/T2T/HG00157/alignments/HG00157.cram.crai	13.83	14	1	92.7	96	27783	45483834227	HG00157	/groups/bi-marvl/samples/alignments/GRCh38/HG00157/alignments/HG00157.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG00157/alignments/HG00157.cram.crai	13.95	14	1	91.6	95.8	27671	45748876134
HG00158	P05	4	B	GBR	GBR	British From England and Scotland [GBR]	Female		proband	PAI99262	58,9	33.829		X	HG00158	/groups/bi-marvl/samples/alignments/T2T/HG00158/alignments/HG00158.cram	/groups/bi-marvl/samples/alignments/T2T/HG00158/alignments/HG00158.cram.crai	18.18	18	44	92.8	96.2	33528	59651624184	HG00158	/groups/bi-marvl/samples/alignments/GRCh38/HG00158/alignments/HG00158.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG00158/alignments/HG00158.cram.crai	18.35	18	13	91.6	96	33381	60050535936
HG00159	P05	4	C	GBR	GBR	British From England and Scotland [GBR]	Male		proband	PAM60710	47,5	34.353		X	HG00159	/groups/bi-marvl/samples/alignments/T2T/HG00159/alignments/HG00159.cram	/groups/bi-marvl/samples/alignments/T2T/HG00159/alignments/HG00159.cram.crai	14.74	15	1	90.3	93	33930	47876995809	HG00159	/groups/bi-marvl/samples/alignments/GRCh38/HG00159/alignments/HG00159.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG00159/alignments/HG00159.cram.crai	14.86	15	1	89.3	92.6	33772	48155417313
HG00171	initial 8			FIN	FIN	Finnish in Finland [FIN]	Female		proband	PAH94050 PAI57249	116,2	17.394	180010	X	HG00171	/groups/bi-marvl/samples/alignments/T2T/HG00171/alignments/HG00171.cram	/groups/bi-marvl/samples/alignments/T2T/HG00171/alignments/HG00171.cram.crai	36.07	36	43	92.8	95.7	17225	1.18E+11	HG00171	/groups/bi-marvl/samples/alignments/GRCh38/HG00171/alignments/HG00171.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG00171/alignments/HG00171.cram.crai	36.39	36	11	92.2	95.5	17179	1.19E+11
HG00173	P01	1	D	FIN	FIN	Finnish in Finland [FIN]	Female		proband	PAI57068	71,3	15.437		X	HG00173	/groups/bi-marvl/samples/alignments/T2T/HG00173/alignments/HG00173.cram	/groups/bi-marvl/samples/alignments/T2T/HG00173/alignments/HG00173.cram.crai	22.08	22	45	93.6	96.4	15538	71769154252	HG00173	/groups/bi-marvl/samples/alignments/GRCh38/HG00173/alignments/HG00173.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG00173/alignments/HG00173.cram.crai	22.3	22	12	93.1	96.3	15528	71965784581
HG00188	P05	5	A	FIN	FIN	Finnish in Finland [FIN]	Male		proband	PAK11459	46,3	29.75		X	HG00188	/groups/bi-marvl/samples/alignments/T2T/HG00188/alignments/HG00188.cram	/groups/bi-marvl/samples/alignments/T2T/HG00188/alignments/HG00188.cram.crai	14.32	14	1	93.3	96.6	29319	46887357030	HG00188	/groups/bi-marvl/samples/alignments/GRCh38/HG00188/alignments/HG00188.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG00188/alignments/HG00188.cram.crai	14.46	14	1	92.2	96.4	29205	47195618784
HG00190	P05	5	B	FIN	FIN	Finnish in Finland [FIN]	Male		proband	PAK14484	46,0	37.881		X	HG00190	/groups/bi-marvl/samples/alignments/T2T/HG00190/alignments/HG00190.cram	/groups/bi-marvl/samples/alignments/T2T/HG00190/alignments/HG00190.cram.crai	14.26	14	1	93.2	96.5	37332	46766169977	HG00190	/groups/bi-marvl/samples/alignments/GRCh38/HG00190/alignments/HG00190.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG00190/alignments/HG00190.cram.crai	14.42	14	1	91.9	96.2	37097	47197397729
HG00235	P05	5	C	GBR	GBR	British From England and Scotland [GBR]	Female		proband	PAI96688 PAK14496	118,3	33.03		X	HG00235	/groups/bi-marvl/samples/alignments/T2T/HG00235/alignments/HG00235.cram	/groups/bi-marvl/samples/alignments/T2T/HG00235/alignments/HG00235.cram.crai	36.57	37	45	92.4	95.4	32587	1.19E+11	HG00235	/groups/bi-marvl/samples/alignments/GRCh38/HG00235/alignments/HG00235.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG00235/alignments/HG00235.cram.crai	36.86	37	12	91.6	95.2	32514	1.20E+11
HG00242	P05	5	D	GBR	GBR	British From England and Scotland [GBR]	Male		proband	PAI96702 PAK11469	94,8	37.728		X	HG00242	/groups/bi-marvl/samples/alignments/T2T/HG00242/alignments/HG00242.cram	/groups/bi-marvl/samples/alignments/T2T/HG00242/alignments/HG00242.cram.crai	29.35	30	1	92.7	96.2	37220	97035687534	HG00242	/groups/bi-marvl/samples/alignments/GRCh38/HG00242/alignments/HG00242.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG00242/alignments/HG00242.cram.crai	29.66	30	1	91.6	95.9	36964	97900839719
HG00243	P05	5	E	GBR	GBR	British From England and Scotland [GBR]	Male		proband	PAK26711 PAM57014	118,6	33.855		X	HG00243	/groups/bi-marvl/samples/alignments/T2T/HG00243/alignments/HG00243.cram	/groups/bi-marvl/samples/alignments/T2T/HG00243/alignments/HG00243.cram.crai	36.77	37	2	92.9	96.2	33446	1.21E+11	HG00243	/groups/bi-marvl/samples/alignments/GRCh38/HG00243/alignments/HG00243.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG00243/alignments/HG00243.cram.crai	37.07	37	1	92	96	33343	1.21E+11
HG00247	P01	1	E	GBR	GBR	British From England and Scotland [GBR]	Female		proband	PAI53524	57,1	20.443			HG00247	/groups/bi-marvl/samples/alignments/T2T/HG00247/alignments/HG00247.cram	/groups/bi-marvl/samples/alignments/T2T/HG00247/alignments/HG00247.cram.crai	17.87	18	42	92.8	95.7	20298	58016299003	HG00247	/groups/bi-marvl/samples/alignments/GRCh38/HG00247/alignments/HG00247.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG00247/alignments/HG00247.cram.crai	18.02	18	11	92.1	95.5	20282	58149600549
HG00252	P05	5	F	GBR	GBR	British From England and Scotland [GBR]	Male		proband	PAI96774 PAK14497	83,2	24.286		X	HG00252	/groups/bi-marvl/samples/alignments/T2T/HG00252/alignments/HG00252.cram	/groups/bi-marvl/samples/alignments/T2T/HG00252/alignments/HG00252.cram.crai	25.7	26	1	93.2	96.2	24032	83607047972	HG00252	/groups/bi-marvl/samples/alignments/GRCh38/HG00252/alignments/HG00252.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG00252/alignments/HG00252.cram.crai	25.94	26	1	92.3	96	23958	84012855068
HG00254	P05	5	G	GBR	GBR	British From England and Scotland [GBR]	Female		proband	PAI96669 PAK14459	117,8	31.256		X	HG00254	/groups/bi-marvl/samples/alignments/T2T/HG00254/alignments/HG00254.cram	/groups/bi-marvl/samples/alignments/T2T/HG00254/alignments/HG00254.cram.crai	36.48	37	46	93.4	96.3	30814	1.20E+11	HG00254	/groups/bi-marvl/samples/alignments/GRCh38/HG00254/alignments/HG00254.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG00254/alignments/HG00254.cram.crai	36.87	37	12	92.4	96.1	30620	1.21E+11
HG00255	P05	5	H	GBR	GBR	British From England and Scotland [GBR]	Female		proband	PAK26852 PAM57017	81,1	24.216		X	HG00255	/groups/bi-marvl/samples/alignments/T2T/HG00255/alignments/HG00255.cram	/groups/bi-marvl/samples/alignments/T2T/HG00255/alignments/HG00255.cram.crai	25.01	25	43	93.1	96.3	23769	82249969260	HG00255	/groups/bi-marvl/samples/alignments/GRCh38/HG00255/alignments/HG00255.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG00255/alignments/HG00255.cram.crai	25.22	25	12	92.4	96.1	23709	82623350098
HG00258	P05	6	A	GBR	GBR	British From England and Scotland [GBR]	Female		proband	PAI96771 PAK16770	92,3	28.519		X	HG00258	/groups/bi-marvl/samples/alignments/T2T/HG00258/alignments/HG00258.cram	/groups/bi-marvl/samples/alignments/T2T/HG00258/alignments/HG00258.cram.crai	28.51	29	46	93.7	96.6	28034	93193389603	HG00258	/groups/bi-marvl/samples/alignments/GRCh38/HG00258/alignments/HG00258.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG00258/alignments/HG00258.cram.crai	28.75	29	12	93	96.4	27946	93647323738
HG00261	P05	6	C	GBR	GBR	British From England and Scotland [GBR]	Female		proband	PAK17285 PAM60609	122,5	19.774		X	HG00261	/groups/bi-marvl/samples/alignments/T2T/HG00261/alignments/HG00261.cram	/groups/bi-marvl/samples/alignments/T2T/HG00261/alignments/HG00261.cram.crai	37.86	38	43	94	96.6	19489	1.25E+11	HG00261	/groups/bi-marvl/samples/alignments/GRCh38/HG00261/alignments/HG00261.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG00261/alignments/HG00261.cram.crai	38.18	38	13	93.4	96.4	19478	1.25E+11
HG00268	P05	6	D	FIN	FIN	Finnish in Finland [FIN]	Female		proband	PAK11442 PAM48217	190,3	11.226		X	HG00268	/groups/bi-marvl/samples/alignments/T2T/HG00268/alignments/HG00268.cram	/groups/bi-marvl/samples/alignments/T2T/HG00268/alignments/HG00268.cram.crai	58.76	60	37	92.1	95.8	10663	2.02E+11	HG00268	/groups/bi-marvl/samples/alignments/GRCh38/HG00268/alignments/HG00268.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG00268/alignments/HG00268.cram.crai	59.26	60	15	91.8	95.6	10642	2.03E+11
HG00269	P05	6	E	FIN	FIN	Finnish in Finland [FIN]	Female		proband	PAK15007	72,3	17.046		X	HG00269	/groups/bi-marvl/samples/alignments/T2T/HG00269/alignments/HG00269.cram	/groups/bi-marvl/samples/alignments/T2T/HG00269/alignments/HG00269.cram.crai	22.26	22	45	93.9	96.8	16593	73899931157	HG00269	/groups/bi-marvl/samples/alignments/GRCh38/HG00269/alignments/HG00269.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG00269/alignments/HG00269.cram.crai	22.49	22	13	93.3	96.6	16544	74305477844
HG00271	P05	6	F	FIN	FIN	Finnish in Finland [FIN]	Male		proband	PAK14402	59,3	26.42		X	HG00271	/groups/bi-marvl/samples/alignments/T2T/HG00271/alignments/HG00271.cram	/groups/bi-marvl/samples/alignments/T2T/HG00271/alignments/HG00271.cram.crai	18.3	18	1	94.1	96.6	25892	59911953825	HG00271	/groups/bi-marvl/samples/alignments/GRCh38/HG00271/alignments/HG00271.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG00271/alignments/HG00271.cram.crai	18.47	18	1	93.3	96.5	25742	60334136218
